Date,Product_Name,Actual_Sales
2025-11-28,Scrambled Egg,3
2025-11-29,Scrambled Egg,1
2025-11-30,Scrambled Egg,3
2025-11-01,Seasoned Fries,7
2025-11-02,Seasoned Fries,4
2025-11-03,Seasoned Fries,6
2025-11-04,Seasoned Fries,7
2025-11-05,Seasoned Fries,3
2025-11-06,Seasoned Fries,8
2025-11-07,Seasoned Fries,3
2025-11-08,Seasoned Fries,2
2025-11-09,Seasoned Fries,7
2025-11-10,Seasoned Fries,1
2025-11-11,Seasoned Fries,7
2025-11-12,Seasoned Fries,8
2025-11-13,Seasoned Fries,11
2025-11-14,Seasoned Fries,12
2025-11-15,Seasoned Fries,8
2025-11-16,Seasoned Fries,11
2025-11-17,Seasoned Fries,7
2025-11-18,Seasoned Fries,5
2025-11-19,Seasoned Fries,3
2025-11-20,Seasoned Fries,7
2025-11-21,Seasoned Fries,7
2025-11-22,Seasoned Fries,7
2025-11-23,Seasoned Fries,9
2025-11-24,Seasoned Fries,3
2025-11-25,Seasoned Fries,7
2025-11-26,Seasoned Fries,4
2025-11-27,Seasoned Fries,4
2025-11-28,Seasoned Fries,8
2025-11-29,Seasoned Fries,10
2025-11-30,Seasoned Fries,10
2025-11-01,Shakshuka Eggs,3
2025-11-02,Shakshuka Eggs,2
2025-11-03,Shakshuka Eggs,1
2025-11-04,Shakshuka Eggs,0
2025-11-05,Shakshuka Eggs,0
2025-11-06,Shakshuka Eggs,1
2025-11-07,Shakshuka Eggs,1
2025-11-08,Shakshuka Eggs,3
2025-11-09,Shakshuka Eggs,2
2025-11-10,Shakshuka Eggs,0
2025-11-11,Shakshuka Eggs,0
2025-11-12,Shakshuka Eggs,1
2025-11-13,Shakshuka Eggs,1
2025-11-14,Shakshuka Eggs,0
2025-11-15,Shakshuka Eggs,0
2025-11-16,Shakshuka Eggs,3
2025-11-17,Shakshuka Eggs,2
2025-11-18,Shakshuka Eggs,0
2025-11-19,Shakshuka Eggs,0
2025-11-20,Shakshuka Eggs,0
2025-11-21,Shakshuka Eggs,0
2025-11-22,Shakshuka Eggs,0
2025-11-23,Shakshuka Eggs,1
2025-11-24,Shakshuka Eggs,0
2025-11-25,Shakshuka Eggs,2
2025-11-26,Shakshuka Eggs,1
2025-11-27,Shakshuka Eggs,2
2025-11-28,Shakshuka Eggs,1
2025-11-29,Shakshuka Eggs,2
2025-11-30,Shakshuka Eggs,0
2025-11-01,Side Salad,0
2025-11-02,Side Salad,0
2025-11-03,Side Salad,0
2025-11-04,Side Salad,0
2025-11-05,Side Salad,0
2025-11-06,Side Salad,0
2025-11-07,Side Salad,0
2025-11-08,Side Salad,0
2025-11-09,Side Salad,0
2025-11-10,Side Salad,0
2025-11-11,Side Salad,0
2025-11-12,Side Salad,1
2025-11-13,Side Salad,0
2025-11-14,Side Salad,0
2025-11-15,Side Salad,0
2025-11-16,Side Salad,0
2025-11-17,Side Salad,0
2025-11-18,Side Salad,0
2025-11-19,Side Salad,0
2025-11-20,Side Salad,1
2025-11-21,Side Salad,0
2025-11-22,Side Salad,0
2025-11-23,Side Salad,0
2025-11-24,Side Salad,0
2025-11-25,Side Salad,0
2025-11-26,Side Salad,0
2025-11-27,Side Salad,0
2025-11-28,Side Salad,1
2025-11-29,Side Salad,0
2025-11-30,Side Salad,0
2025-11-01,Soft Drinks,87
2025-11-02,Soft Drinks,69
2025-11-03,Soft Drinks,58
2025-11-04,Soft Drinks,37
2025-11-05,Soft Drinks,42
2025-11-06,Soft Drinks,61
2025-11-07,Soft Drinks,51
2025-11-08,Soft Drinks,75
2025-11-09,Soft Drinks,59
2025-11-10,Soft Drinks,49
2025-11-11,Soft Drinks,31
2025-11-12,Soft Drinks,44
2025-11-13,Soft Drinks,35
2025-11-14,Soft Drinks,75
2025-11-15,Soft Drinks,71
2025-11-16,Soft Drinks,51
